message_seq,target_id,callsign,timestamp,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground,message_valid
1,4406de,AUA26,1785812554,36.007505895496806,138.55715717247898,8077.0,geometric,225.3,270.65,3.25,False,True
2,71bf43,JNA204,1785812555,35.85335394224022,140.31119354038088,1318.0,geometric,120.60000000000001,329.5,4.389999999999986,False,True
3,71c073,ASV706,1785812554,35.89523932820303,140.43298731636702,3307.0,geometric,154.4,181.72,7.480000000000018,False,True
4,4406de,AUA26,1785812566,36.007763387623626,138.52720225505885,8108.0,geometric,226.4,270.65,2.6000000000000227,False,True
5,71bf43,JNA204,1785812566,35.864597765111384,140.30303962303157,1379.0,geometric,129.20000000000002,329.35,5.0400000000000205,False,True
6,71c073,ASV706,1785812566,35.879017324213336,140.4284382887932,3360.0,geometric,159.9,199.54,4.550000000000011,False,True
7,4406de,AUA26,1785812578,36.00806379510492,138.49836313685495,8146.0,geometric,227.4,270.65,2.2799999999999727,False,True
8,71bf43,JNA204,1785812577,35.87627074152725,140.29445655213755,1463.0,geometric,136.6,329.18,5.529999999999973,False,True
9,71c073,ASV706,1785812577,35.864898172592675,140.41685114308626,3421.0,geometric,167.0,221.0,4.230000000000018,False,True
