snapshot_index,captured_at_utc,response_now_ms,target_id,callsign,lat_deg,lon_deg,alt_baro_ft,alt_geom_ft,ground_speed_kt,track_deg,baro_rate_ft_min,geom_rate_ft_min,seen_pos_s,db_flags
1,2026-08-04T03:02:35.008000Z,1785812555008,861e4e,ANA623,35.359406,139.799709,10725,11200,323.2,220.99,,1216,0.591,0
1,2026-08-04T03:02:35.008000Z,1785812555008,8a0532,GIA875,35.525118,139.802238,ground,,10.8,,,,0.406,0
1,2026-08-04T03:02:35.008000Z,1785812555008,861f22,JAL85,35.527588,139.802985,ground,,14.8,,,,0.406,0
1,2026-08-04T03:02:35.008000Z,1785812555008,8678e2,ANA471,35.531731,139.805317,ground,,10.8,149.06,,,0.318,0
1,2026-08-04T03:02:35.008000Z,1785812555008,846021,JAL186,35.506416,139.807044,675,875,149.2,329.83,-832,,0.217,0
1,2026-08-04T03:02:35.008000Z,1785812555008,a67f8a,DAL121,35.454666,139.843655,1775,2025,169.8,329.96,-960,-896,0.129,0
1,2026-08-04T03:02:35.008000Z,1785812555008,850e58,JAL690,35.382614,139.894695,3300,3600,203.8,330.29,-1440,-1408,0.0,0
1,2026-08-04T03:02:35.008000Z,1785812555008,8681a8,SKY710,35.369064,139.925938,3800,4000,211.5,329.92,-896,-1152,0.117,0
1,2026-08-04T03:02:35.008000Z,1785812555008,867a1a,JA71HU,36.07302,139.938053,1400,,136.0,317.0,-17,,1.832,0
1,2026-08-04T03:02:35.008000Z,1785812555008,84655a,ANA644,35.246109,139.961586,3975,4275,215.2,22.39,-64,-64,0.254,0
1,2026-08-04T03:02:35.008000Z,1785812555008,8406e8,JAL513,35.63736,139.963188,8275,8800,228.1,1.76,1408,2144,0.216,0
1,2026-08-04T03:02:35.008000Z,1785812555008,84bd31,JA22NF,35.914726,139.971313,700,875,59.0,10.74,,128,8.793,0
1,2026-08-04T03:02:35.008000Z,1785812555008,84b5ee,SFJ22,34.843047,139.987621,8775,9275,244.5,60.6,-1184,-1216,0.307,0
1,2026-08-04T03:02:35.008000Z,1785812555008,846d0c,ADO47,37.009867,139.996451,33400,35850,447.2,11.61,2304,2304,0.095,0
1,2026-08-04T03:02:35.008000Z,1785812555008,86cf4d,SNJ22D,35.142377,140.024357,4325,4675,233.9,347.15,-672,-512,0.254,0
1,2026-08-04T03:02:35.008000Z,1785812555008,71c717,ESR602,35.818642,140.061191,15425,16500,370.1,284.71,1600,1856,0.138,0
1,2026-08-04T03:02:35.008000Z,1785812555008,861f5e,ANA741,37.29905,140.086849,33000,35350,481.9,11.01,-64,0,0.095,0
1,2026-08-04T03:02:35.008000Z,1785812555008,a57b27,WGN212,34.496698,140.089188,23975,25775,405.7,64.13,-1664,-1760,0.401,0
1,2026-08-04T03:02:35.008000Z,1785812555008,86222e,JAL570,35.558395,140.146751,6550,6850,244.1,187.53,-1024,-1152,0.291,0
1,2026-08-04T03:02:35.008000Z,1785812555008,780d11,CHH439,37.033469,140.284663,20700,22275,393.8,95.54,-1536,-1504,0.318,0
1,2026-08-04T03:02:35.008000Z,1785812555008,84b7fa,ANA316,36.646294,140.289859,16225,17400,390.6,140.4,-896,-896,0.0,0
1,2026-08-04T03:02:35.008000Z,1785812555008,86dd4c,JAL723,34.298572,140.303822,29825,32125,519.8,228.12,928,832,0.212,0
1,2026-08-04T03:02:35.008000Z,1785812555008,71bf43,JNA204,35.85337,140.311188,4025,4325,234.4,329.5,1024,864,0.0,0
1,2026-08-04T03:02:35.008000Z,1785812555008,8463b4,IBX79,36.73614,140.333278,8600,9175,283.6,52.16,-1728,-2048,0.797,0
1,2026-08-04T03:02:35.008000Z,1785812555008,770588,ALK455,35.924222,140.342862,5900,6325,267.7,94.07,1984,2112,0.1,0
1,2026-08-04T03:02:35.008000Z,1785812555008,847c18,JJP509,35.77858,140.365276,1375,1400,170.3,329.67,,2240,0.08,0
1,2026-08-04T03:02:35.008000Z,1785812555008,89910a,CAL102,34.814026,140.400061,14725,15725,397.4,45.0,-2752,-2688,0.242,0
1,2026-08-04T03:02:35.008000Z,1785812555008,71c073,ASV706,35.89522,140.432973,10325,10850,300.1,181.72,2368,1472,0.455,0
1,2026-08-04T03:02:35.008000Z,1785812555008,8678c0,ANA56,37.136627,140.460614,24225,26000,464.6,192.81,-2112,-1536,0.422,0
1,2026-08-04T03:02:35.008000Z,1785812555008,71c709,PTA501,36.739026,140.557796,15000,16100,385.0,162.93,64,-32,0.688,0
1,2026-08-04T03:02:35.008000Z,1785812555008,71c524,JJA1175,36.457123,140.589581,15000,16075,360.0,196.62,0,32,0.335,0
1,2026-08-04T03:02:35.008000Z,1785812555008,863b53,JA6939,35.90495,140.599346,700,900,122.5,283.7,64,,3.189,0
1,2026-08-04T03:02:35.008000Z,1785812555008,846a34,JJP602,35.270874,140.691776,8050,8500,266.3,352.45,-1024,-960,0.129,0
1,2026-08-04T03:02:35.008000Z,1785812555008,840587,SJO858,35.914027,140.879497,10575,11125,306.3,174.75,-800,-704,1.289,0
1,2026-08-04T03:02:35.008000Z,1785812555008,846a5b,NCA101,35.569336,141.07996,8050,8575,267.6,252.38,-960,-1024,0.302,0
1,2026-08-04T03:02:35.008000Z,1785812555008,84118c,JAL6,35.731567,141.630249,25700,27625,474.5,94.59,576,608,0.129,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8511ca,JAL2112,36.105916,137.886775,32625,35150,491.9,208.81,-1024,-1088,0.0,0
2,2026-08-04T03:02:46.501000Z,1785812566501,851bba,JAL115,34.968201,137.953977,26000,28000,443.5,252.95,-32,-64,0.279,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8465cf,JA139R,35.440963,138.183055,11175,11950,115.0,1.49,256,832,0.808,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8687bc,ANA726,34.547012,138.190631,28725,30950,430.3,75.74,-1120,-1152,0.047,0
2,2026-08-04T03:02:46.501000Z,1785812566501,84b7b6,ANA535,35.455627,138.324182,27925,30100,443.0,266.12,1728,1312,0.047,0
2,2026-08-04T03:02:46.501000Z,1785812566501,7809a6,CCA181,34.632118,138.398438,25100,27100,414.0,80.26,-960,-992,0.0,0
2,2026-08-04T03:02:46.501000Z,1785812566501,4406de,AUA26,36.007782,138.527184,24650,26600,440.0,270.65,512,,0.0,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8681b0,SKY009,35.634888,138.547153,25475,27325,455.0,266.22,1248,1472,0.315,0
2,2026-08-04T03:02:46.501000Z,1785812566501,71c394,ABL111,35.780655,138.553376,28750,31025,469.0,270.0,1344,1344,0.066,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8681b3,SKY613,34.966317,138.577423,29525,31675,419.9,266.18,864,832,0.096,0
2,2026-08-04T03:02:46.501000Z,1785812566501,846954,ANA296,34.715633,138.635845,27050,29200,472.0,90.0,-1216,-1184,0.405,0
2,2026-08-04T03:02:46.501000Z,1785812566501,71c734,KAL703,36.881195,138.770239,32350,34875,475.1,80.8,-1248,-1280,0.09,0
2,2026-08-04T03:02:46.501000Z,1785812566501,c02ed9,ACA025,35.967562,138.785667,38000,40950,518.1,245.12,32,-64,0.426,0
2,2026-08-04T03:02:46.501000Z,1785812566501,861ae1,ANA2011,35.479881,138.792621,21950,23575,453.9,266.46,2048,2016,0.326,0
2,2026-08-04T03:02:46.501000Z,1785812566501,71c363,TWB251,36.916576,139.045417,27850,30025,443.4,81.05,-1216,-1248,0.158,0
2,2026-08-04T03:02:46.501000Z,1785812566501,71c247,JNA205,36.942764,139.245807,28650,30950,454.2,80.5,-2368,-2368,0.177,0
2,2026-08-04T03:02:46.501000Z,1785812566501,86d310,ANA248,34.713043,139.298121,17350,18675,371.0,90.31,-1952,-2112,0.042,0
2,2026-08-04T03:02:46.501000Z,1785812566501,78165e,DKH1379,34.287073,139.428463,36575,39375,466.8,73.7,-2592,-2432,0.229,0
2,2026-08-04T03:02:46.501000Z,1785812566501,84ce9c,JA27HE,36.205165,139.469332,2925,,70.9,171.07,-189,,0.139,0
2,2026-08-04T03:02:46.501000Z,1785812566501,84c5ca,JAL691,35.187762,139.500905,15425,,410.0,245.0,1924,,3.194,0
2,2026-08-04T03:02:46.501000Z,1785812566501,861ed6,ANA386,34.755569,139.509215,12975,13675,347.8,60.93,-576,-512,0.0,0
2,2026-08-04T03:02:46.501000Z,1785812566501,840532,N,36.105584,139.639122,5000,,164.0,332.0,75,,2.272,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8518ae,JAL259,35.691461,139.764794,12050,12800,360.6,266.82,2048,2496,0.289,0
2,2026-08-04T03:02:46.501000Z,1785812566501,71c259,AAR1075,35.546009,139.771441,ground,,0.9,,,,22.248,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8675d8,ANA22,35.556232,139.773531,ground,150,31.5,0.0,,-64,0.235,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8681ba,@@@@@@@@,35.558566,139.775459,ground,,9.8,59.06,,,0.267,0
2,2026-08-04T03:02:46.501000Z,1785812566501,ab6380,AAL170,35.544777,139.777336,ground,,13.8,,,,0.07,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8514f8,JAL215,35.548767,139.78085,ground,,0.0,331.88,,,3.509,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8682fc,JAL308,35.550233,139.781872,ground,,3.8,,,,0.07,0
2,2026-08-04T03:02:46.501000Z,1785812566501,87ad9e,TEST,35.540531,139.782658,ground,,7.8,241.88,,,7.801,0
2,2026-08-04T03:02:46.501000Z,1785812566501,87add6,TEST,35.545846,139.782924,ground,,9.2,331.88,,,1.906,0
2,2026-08-04T03:02:46.501000Z,1785812566501,86dd6e,JAL317,35.545916,139.784853,ground,,0.0,98.44,,,0.563,0
2,2026-08-04T03:02:46.501000Z,1785812566501,861e4e,ANA623,35.345671,139.785072,10925,11400,334.5,221.12,,1088,0.231,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8464d2,ANA282,35.562046,139.785466,ground,,16.5,,,,2.236,0
2,2026-08-04T03:02:46.501000Z,1785812566501,86cf2b,SNJ57,35.556832,139.786781,ground,,2.2,149.06,,,22.084,0
2,2026-08-04T03:02:46.501000Z,1785812566501,850e9c,JAL659,35.544531,139.78703,ground,,0.0,239.06,,,0.918,0
2,2026-08-04T03:02:46.501000Z,1785812566501,841a6c,ADO42,35.556896,139.790411,ground,75,10.8,151.88,,,0.104,0
2,2026-08-04T03:02:46.501000Z,1785812566501,851ca8,JAL629,35.545464,139.790897,ground,,26.5,59.06,,,6.327,0
2,2026-08-04T03:02:46.501000Z,1785812566501,781aa8,CSH815,34.876983,139.794788,11625,12400,271.0,90.63,-1152,-1344,0.326,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8681ac,SKY011,35.534999,139.794875,ground,,13.8,59.06,,,1.252,0
2,2026-08-04T03:02:46.501000Z,1785812566501,846021,JAL186,35.513166,139.802253,525,725,149.2,329.83,-768,,0.352,0
2,2026-08-04T03:02:46.501000Z,1785812566501,861f22,JAL85,35.527016,139.802356,ground,,13.2,,,,0.242,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8a0532,GIA875,35.524664,139.802866,ground,,12.8,,,,0.042,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8678e2,ANA471,35.531422,139.805546,ground,,11.2,149.06,,,4.494,0
2,2026-08-04T03:02:46.501000Z,1785812566501,a67f8a,DAL121,35.462265,139.838333,1600,1850,164.0,330.0,-768,-800,0.242,0
2,2026-08-04T03:02:46.501000Z,1785812566501,850e58,JAL690,35.391769,139.888229,3075,3350,200.3,329.72,-992,-896,0.139,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8681a8,SKY710,35.379044,139.918957,3550,3725,215.9,329.99,-1440,-1472,0.066,0
2,2026-08-04T03:02:46.501000Z,1785812566501,867a1a,JA71HU,36.075073,139.944193,1400,,103.0,334.0,80,,5.147,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8406e8,JAL513,35.649765,139.963303,8450,9000,244.0,0.23,768,832,0.289,0
2,2026-08-04T03:02:46.501000Z,1785812566501,84655a,ANA644,35.257082,139.967106,3975,4275,216.2,22.29,0,0,0.043,0
2,2026-08-04T03:02:46.501000Z,1785812566501,84bd31,JA22NF,35.917658,139.971898,800,975,59.6,22.69,,-128,9.801,0
2,2026-08-04T03:02:46.501000Z,1785812566501,84b5ee,SFJ22,34.852124,140.000038,8525,9025,243.9,38.84,-1184,-1472,0.246,0
2,2026-08-04T03:02:46.501000Z,1785812566501,846d0c,ADO47,37.032491,140.002302,33825,36300,445.0,11.54,2176,2368,0.268,0
2,2026-08-04T03:02:46.501000Z,1785812566501,86cf4d,SNJ22D,35.154109,140.021038,4250,4575,228.0,346.82,-448,-448,0.433,0
2,2026-08-04T03:02:46.501000Z,1785812566501,71c717,ESR602,35.823624,140.038147,15750,16850,371.4,284.82,1728,1728,0.352,0
2,2026-08-04T03:02:46.501000Z,1785812566501,a57b27,WGN212,34.50652,140.113735,23675,25425,406.6,64.19,-1600,-1600,0.0,0
2,2026-08-04T03:02:46.501000Z,1785812566501,86222e,JAL570,35.545303,140.144634,6325,6600,243.2,187.8,-1088,-1152,0.041,0
2,2026-08-04T03:02:46.501000Z,1785812566501,86dd4c,JAL723,34.280411,140.279379,29975,32275,521.2,228.11,672,960,0.233,0
2,2026-08-04T03:02:46.501000Z,1785812566501,71bf43,JNA204,35.864594,140.30302,4200,4525,251.1,329.35,960,992,0.0,0
2,2026-08-04T03:02:46.501000Z,1785812566501,84b7fa,ANA316,36.629562,140.303364,16075,17250,393.5,149.79,-640,-608,0.326,0
2,2026-08-04T03:02:46.501000Z,1785812566501,780d11,CHH439,37.031607,140.308964,20425,21975,390.8,95.43,-1472,-1504,0.958,0
2,2026-08-04T03:02:46.501000Z,1785812566501,8463b4,IBX79,36.746658,140.345249,8250,8800,283.2,33.19,-1824,-1920,1.478,0
2,2026-08-04T03:02:46.501000Z,1785812566501,847c18,JJP509,35.78694,140.359283,1675,1775,184.6,330.1,,1472,0.106,0
2,2026-08-04T03:02:46.501000Z,1785812566501,770588,ALK455,35.92101,140.359341,6275,6725,272.2,112.23,2048,2112,0.511,0
