snapshot_index,captured_at_utc,target_id,callsign,timestamp_utc,timestamp_unix,lat_deg,lon_deg,altitude_m,altitude_source,speed_m_s,heading_deg,vertical_rate_m_s,vertical_rate_source,on_ground,source_provider
1,2026-08-04T03:02:35.008000Z,4406de,AUA26,2026-08-04T03:02:34Z,1785812554,36.007504,138.557116,8077.200000000001,alt_geom,225.326472,270.65,3.2512000000000003,baro_rate,False,ADSB.lol
1,2026-08-04T03:02:35.008000Z,71bf43,JNA204,2026-08-04T03:02:35Z,1785812555,35.85337,140.311188,1318.26,alt_geom,120.5856736,329.5,4.38912,geom_rate,False,ADSB.lol
1,2026-08-04T03:02:35.008000Z,71c073,ASV706,2026-08-04T03:02:34Z,1785812554,35.89522,140.432973,3307.0800000000004,alt_geom,154.3846444,181.72,7.477760000000001,geom_rate,False,ADSB.lol
2,2026-08-04T03:02:46.501000Z,4406de,AUA26,2026-08-04T03:02:46Z,1785812566,36.007782,138.527184,8107.68,alt_geom,226.35536000000002,270.65,2.60096,baro_rate,False,ADSB.lol
2,2026-08-04T03:02:46.501000Z,71bf43,JNA204,2026-08-04T03:02:46Z,1785812566,35.864594,140.30302,1379.22,alt_geom,129.1768884,329.35,5.03936,geom_rate,False,ADSB.lol
2,2026-08-04T03:02:46.501000Z,71c073,ASV706,2026-08-04T03:02:46Z,1785812566,35.879013,140.428448,3360.42,alt_geom,159.9406396,199.54,4.55168,geom_rate,False,ADSB.lol
3,2026-08-04T03:02:58Z,4406de,AUA26,2026-08-04T03:02:58Z,1785812578,36.008057,138.498344,8145.780000000001,alt_geom,227.384248,270.65,2.27584,baro_rate,False,ADSB.lol
3,2026-08-04T03:02:58Z,71bf43,JNA204,2026-08-04T03:02:57Z,1785812577,35.876266,140.294495,1463.04,alt_geom,136.584882,329.18,5.52704,geom_rate,False,ADSB.lol
3,2026-08-04T03:02:58Z,71c073,ASV706,2026-08-04T03:02:57Z,1785812577,35.864914,140.416832,3421.38,alt_geom,166.98852240000002,221.0,4.22656,geom_rate,False,ADSB.lol
