snapshot_index,vector_index,target_id,timestamp,outcome,problem_type,message_seq,message_valid,lat_error_deg,lon_error_deg
3,3,3849ff,1786673173,ROUNDTRIP_OK,,50,True,1.2409403900903726e-05,4.185713335314034e-05
3,4,407fac,1786673172,ROUNDTRIP_OK,,51,True,1.3514259705971199e-05,3.8015422347825734e-05
3,5,3c815e,1786673173,ROUNDTRIP_OK,,52,True,3.643370533268353e-06,1.7625622195538426e-05
3,6,7c8066,1786673173,ROUNDTRIP_OK,,53,True,7.084609762841865e-06,4.2661224078699433e-05
3,7,45ce47,1786673173,ROUNDTRIP_OK,,54,True,9.561898608012598e-06,4.284525940256856e-05
3,8,3c5434,1786673173,ROUNDTRIP_OK,,55,True,8.009936351527358e-06,3.173719207971715e-05
3,9,4b5d62,1786673173,ROUNDTRIP_OK,,56,True,5.462981569337444e-06,1.36242660548902e-05
3,10,4b5d54,1786673173,ROUNDTRIP_OK,,57,True,1.9224791337535407e-05,2.4848633966456646e-05
3,11,4b5d6e,1786673163,ROUNDTRIP_OK,,58,True,1.4112642787722507e-05,2.8608519695438872e-05
3,12,4b5c39,1786673173,ROUNDTRIP_OK,,59,True,1.963227263246381e-05,3.90179250260303e-05
3,13,4b5c1b,1786673172,ROUNDTRIP_OK,,60,True,7.483865616109142e-06,2.8068644542855736e-05
3,14,440b61,1786673173,ROUNDTRIP_OK,,61,True,8.296968445620223e-08,2.7349025569556318e-05
3,15,48ea3a,1786673174,ROUNDTRIP_OK,,62,True,9.148623746568774e-06,4.2724953315698144e-05
3,16,424cbf,1786673173,ROUNDTRIP_OK,,63,True,1.9110564963398247e-05,1.8518690698243745e-05
3,17,a61c53,1786673173,ROUNDTRIP_OK,,64,True,7.807089765776709e-06,1.4022091409771065e-05
3,18,8966d5,1786673173,ROUNDTRIP_OK,,65,True,1.6745070631429826e-05,3.563311948706627e-05
3,19,4d253b,1786673174,ROUNDTRIP_OK,,66,True,1.626820952083108e-05,7.119156611778976e-06
3,20,45b534,1786673173,ROUNDTRIP_OK,,67,True,1.7867950901973018e-05,1.2249115025397828e-05
3,21,4d240c,1786673173,ROUNDTRIP_OK,,68,True,1.529081230700058e-05,1.8355254729485182e-05
3,22,ad35c8,1786673174,ROUNDTRIP_OK,,69,True,7.066370734776228e-06,3.0151612602224986e-06
3,23,3889ff,1786673173,ROUNDTRIP_OK,,70,True,1.8198685204140475e-05,3.63689032427672e-05
3,24,4b17fd,1786673098,ROUNDTRIP_OK,,71,True,1.9115714820827634e-05,6.789638227644446e-06
